"state","area_of_expenditure","broad_source_of_funding","detailed_source_of_funding","real_expenditure_millions","financial_year"
"WA","Community health","Non-government","Private health insurance funds",0,2011
"WA","Dental services","Government","Australian Government",101,2011
"WA","Dental services","Government","State and local",73,2011
"WA","Dental services","Non-government","Individuals",739,2011
"WA","Dental services","Non-government","Other non-government",5,2011
"WA","Dental services","Non-government","Private health insurance funds",187,2011
"WA","Medical expense tax rebate","Government","Australian Government",25,2011
"WA","Medical expense tax rebate","Non-government","Individuals",-25,2011
"WA","Medical services","Government","Australian Government",1580,2011
"WA","Medical services","Non-government","Individuals",313,2011
"WA","Medical services","Non-government","Other non-government",103,2011
"WA","Medical services","Non-government","Private health insurance funds",134,2011
"WA","Other health practitioners","Government","Australian Government",139,2011
"WA","Other health practitioners","Non-government","Individuals",86,2011
"WA","Other health practitioners","Non-government","Other non-government",33,2011
"WA","Other health practitioners","Non-government","Private health insurance funds",69,2011
"WA","Patient transport services","Government","Australian Government",31,2011
"WA","Patient transport services","Government","State and local",167,2011
"WA","Patient transport services","Non-government","Individuals",0,2011
"WA","Patient transport services","Non-government","Other non-government",10,2011
"WA","Patient transport services","Non-government","Private health insurance funds",20,2011
"WA","Private hospitals","Government","Australian Government",382,2011
"WA","Private hospitals","Government","State and local",374,2011
"WA","Private hospitals","Non-government","Individuals",98,2011
"WA","Private hospitals","Non-government","Other non-government",6,2011
"WA","Private hospitals","Non-government","Private health insurance funds",629,2011
"WA","Public health","Government","Australian Government",172,2011
"WA","Public health","Government","State and local",105,2011
"WA","Public health","Non-government","Individuals",0,2011
"WA","Public health","Non-government","Other non-government",0,2011
"WA","Public hospitals","Government","Australian Government",1546,2011
"WA","Public hospitals","Government","State and local",2629,2011
"WA","Public hospitals","Non-government","Individuals",0,2011
"WA","Public hospitals","Non-government","Other non-government",59,2011
"WA","Public hospitals","Non-government","Private health insurance funds",52,2011
"WA","Research","Government","Australian Government",279,2011
"WA","Research","Government","State and local",73,2011
"WA","Research","Non-government","Individuals",0,2011
"WA","Research","Non-government","Other non-government",13,2011
"SA","Administration","Government","Australian Government",68,2011
"SA","Administration","Government","State and local",0,2011
"SA","Administration","Non-government","Individuals",0,2011
"SA","Administration","Non-government","Other non-government",0,2011
"SA","Administration","Non-government","Private health insurance funds",86,2011
"SA","Aids and appliances","Government","Australian Government",51,2011
"SA","Aids and appliances","Non-government","Individuals",152,2011
"SA","Aids and appliances","Non-government","Other non-government",15,2011
"SA","Aids and appliances","Non-government","Private health insurance funds",43,2011
"SA","All other medications","Government","Australian Government",44,2011
"SA","All other medications","Non-government","Individuals",618,2011
"SA","All other medications","Non-government","Other non-government",6,2011
"SA","All other medications","Non-government","Private health insurance funds",4,2011
"SA","Benefit-paid pharmaceuticals","Government","Australian Government",691,2011
"SA","Benefit-paid pharmaceuticals","Non-government","Individuals",131,2011
"SA","Capital expenditure","Government","Australian Government",28,2011
"SA","Capital expenditure","Government","State and local",311,2011
"SA","Capital expenditure","Non-government","Other non-government",54,2011
"SA","Community health","Government","Australian Government",94,2011
"SA","Community health","Government","State and local",640,2011
"SA","Community health","Non-government","Individuals",57,2011
"SA","Community health","Non-government","Other non-government",14,2011
"SA","Community health","Non-government","Private health insurance funds",0,2011
"SA","Dental services","Government","Australian Government",129,2011
"SA","Dental services","Government","State and local",66,2011
"SA","Dental services","Non-government","Individuals",140,2011
"SA","Dental services","Non-government","Other non-government",2,2011
"SA","Dental services","Non-government","Private health insurance funds",113,2011
"SA","Medical expense tax rebate","Government","Australian Government",45,2011
"SA","Medical expense tax rebate","Non-government","Individuals",-45,2011
"SA","Medical services","Government","Australian Government",1403,2011
"SA","Medical services","Non-government","Individuals",146,2011
"SA","Medical services","Non-government","Other non-government",120,2011
"SA","Medical services","Non-government","Private health insurance funds",106,2011
"SA","Other health practitioners","Government","Australian Government",118,2011
"SA","Other health practitioners","Non-government","Individuals",51,2011
"SA","Other health practitioners","Non-government","Other non-government",36,2011
"SA","Other health practitioners","Non-government","Private health insurance funds",61,2011
"SA","Patient transport services","Government","Australian Government",19,2011
"SA","Patient transport services","Government","State and local",187,2011
